,ticker,wr_range,long_trigger,short_trigger,hold_return_pct,trade_return_pct,delta_return,delta_return_pct_diff
0,MAX,5,-73,-51,0.1731568016614744,0.957729,0.7845721983385257,4.5309926656671715
0,MAX,5,-73,-54,0.1731568016614744,0.794133,0.6209761983385256,3.5862073703148467
0,MAX,5,-73,-57,0.1731568016614744,0.554406,0.38124919833852555,2.2017569895052502
0,MAX,5,-73,-60,0.1731568016614744,0.496065,0.3229081983385256,1.8648311544227911
0,MAX,5,-73,-63,0.1731568016614744,0.575936,0.4027791983385256,2.326095160419793
0,MAX,5,-73,-66,0.1731568016614744,0.575936,0.4027791983385256,2.326095160419793
0,MAX,5,-73,-69,0.1731568016614744,0.517302,0.34414519833852564,1.9874772173913073
0,MAX,5,-73,-72,0.1731568016614744,0.517302,0.34414519833852564,1.9874772173913073
0,MAX,5,-70,-45,0.1731568016614744,0.895513,0.7223561983385256,4.171688269865072
0,MAX,5,-70,-48,0.1731568016614744,0.895513,0.7223561983385256,4.171688269865072
0,MAX,5,-70,-51,0.1731568016614744,0.957729,0.7845721983385257,4.5309926656671715
0,MAX,5,-70,-54,0.1731568016614744,0.794133,0.6209761983385256,3.5862073703148467
0,MAX,5,-70,-57,0.1731568016614744,0.554406,0.38124919833852555,2.2017569895052502
0,MAX,5,-70,-60,0.1731568016614744,0.496065,0.3229081983385256,1.8648311544227911
0,MAX,5,-70,-63,0.1731568016614744,0.575936,0.4027791983385256,2.326095160419793
0,MAX,5,-70,-66,0.1731568016614744,0.575936,0.4027791983385256,2.326095160419793
0,MAX,5,-70,-69,0.1731568016614744,0.517302,0.34414519833852564,1.9874772173913073
0,MAX,5,-70,-72,0.1731568016614744,0.517302,0.34414519833852564,1.9874772173913073
0,MAX,5,-67,-45,0.1731568016614744,0.755374,0.5822171983385256,3.362369787106451
0,MAX,5,-67,-48,0.1731568016614744,0.755374,0.5822171983385256,3.362369787106451
0,MAX,5,-67,-51,0.1731568016614744,0.812992,0.6398351983385256,3.6951202158920586
0,MAX,5,-67,-54,0.1731568016614744,0.610995,0.43783819833852555,2.52856482758621
0,MAX,5,-67,-57,0.1731568016614744,0.366564,0.1934071983385256,1.1169483178410813
0,MAX,5,-67,-60,0.1731568016614744,0.315275,0.14211819833852563,0.8207485757121458
0,MAX,5,-67,-63,0.1731568016614744,0.385512,0.21235519833852562,1.2263751484257892
0,MAX,5,-67,-66,0.1731568016614744,0.385512,0.21235519833852562,1.2263751484257892
0,MAX,5,-67,-69,0.1731568016614744,0.460028,0.2868711983385256,1.6567134272863593
0,MAX,5,-67,-72,0.1731568016614744,0.491189,0.3180321983385256,1.836671706146929
0,MAX,5,-64,-45,0.1731568016614744,0.692931,0.5197741983385256,3.0017544407796137
0,MAX,5,-64,-48,0.1731568016614744,0.692931,0.5197741983385256,3.0017544407796137
0,MAX,5,-64,-51,0.1731568016614744,0.748505,0.5753481983385256,3.3227005397301386
0,MAX,5,-64,-54,0.1731568016614744,0.553682,0.3805251983385256,2.197575808095955
0,MAX,5,-64,-57,0.1731568016614744,0.317942,0.1447851983385256,0.8361508005997018
0,MAX,5,-64,-60,0.1731568016614744,0.18264,0.009483198338525595,0.05476653673163512
0,MAX,5,-64,-63,0.1731568016614744,0.245799,0.07264219833852559,0.4195168635682171
0,MAX,5,-64,-66,0.1731568016614744,0.245799,0.07264219833852559,0.4195168635682171
0,MAX,5,-64,-69,0.1731568016614744,0.359251,0.18609419833852558,1.074714920539732
0,MAX,5,-64,-72,0.1731568016614744,0.388258,0.2151011983385256,1.2422336071964037
0,MAX,5,-61,-45,0.1731568016614744,0.532722,0.3595651983385256,2.0765294512743657
0,MAX,5,-61,-48,0.1731568016614744,0.532722,0.3595651983385256,2.0765294512743657
0,MAX,5,-61,-51,0.1731568016614744,0.58303,0.40987319833852565,2.3670638080959554
0,MAX,5,-61,-54,0.1731568016614744,0.406644,0.2334871983385256,1.3484148245877083
0,MAX,5,-61,-57,0.1731568016614744,0.193217,0.020060198338525598,0.11584990104947628
0,MAX,5,-61,-60,0.1731568016614744,0.070717,-0.1024398016614744,-0.591601373313343
0,MAX,5,-61,-63,0.1731568016614744,0.079435,-0.0937218016614744,-0.5412539430284853
0,MAX,5,-61,-66,0.1731568016614744,0.079435,-0.0937218016614744,-0.5412539430284853
0,MAX,5,-61,-69,0.1731568016614744,0.177731,0.004574198338525598,0.026416509745128366
