Symbol,Name,Country,IPO Year,Sector,Industry
GDP,Goodrich Petroleum Corporation Common Stock,United States,2017,Energy,Oil & Gas Production
GGN,GAMCO Global Gold Natural Resources & Income Trust,United States,2005,,
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,United States,,,
GGO,The Gabelli Go Anywhere Trust Common Shares of Beneficial Interest,,2016,,
GGO^A,The Gabelli Go Anywhere Trust Series A Cumulative Puttable and Callable Preferred Shares,,,,
GLDG,GoldMining Inc. Common Shares,,,,
GLO,Clough Global Opportunities Fund Common Stock,United States,2006,,
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,United States,2005,,
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,United States,2004,,
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,United States,,,
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,United States,,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,United States,2004,,
GOED,1847 Goedeker Inc. Commom Stock,United States,2020,Capital Goods,Recreational Products/Toys
GORO,Gold Resource Corporation Common Stock,United States,,Basic Industries,Precious Metals
GPL,Great Panther Mining Limited Ordinary Shares (Canada),Canada,,,
GRF,Eagle Capital Growth Fund Inc. Common Stock,United States,,,
GROY,Gold Royalty Corp. Common Shares,,2021,,
GSAT,Globalstar Inc. Common Stock,United States,2006,Consumer Services,Telecommunications Equipment
GSS,Golden Star Resources Ltd Common Stock,United States,,,
GSV,Gold Standard Ventures Corporation Common Stock (Canada),Canada,,,
GTE,Gran Tierra Energy Inc. Common Stock,Canada,,Energy,Oil & Gas Production
HLM^,Hillman Group Capital Trust Preferred Stock,United States,,,
HMG,HMG/Courtland Properties Inc. Common Stock,United States,,Consumer Services,Real Estate Investment Trusts
HNW,Pioneer Diversified High Income Fund Inc.,United States,2007,,
HUSA,Houston American Energy Corporation Common Stock,United States,,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,United States,,,
IAF,Aberdeen Australia Equity Fund Inc Common Stock,United States,,,
IBIO,iBio Inc. Common Stock,United States,,Health Care,Major Pharmaceuticals
ID,PARTS iD Inc. Class A Common Stock,United States,2017,Miscellaneous,Diversified Commercial Services
IGC,India Globalization Capital Inc. Common Stock,United States,,Technology,Engineering & Construction
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,United States,,Consumer Services,Real Estate Investment Trusts
IMH,Impac Mortgage Holdings Inc. Common Stock ,United States,1997,Finance,Finance: Consumer Services
IMO,Imperial Oil Limited Common Stock,Canada,,,
INDO,Indonesia Energy Corporation Limited Ordinary Shares,,2019,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,United States,,Health Care,Medical/Dental Instruments
INS,Intelligent Systems Corporation Common Stock,United States,1992,Technology,Retail: Computer Software & Peripheral Equipment
INTT,inTest Corporation Common Stock,United States,1997,Technology,Semiconductors
INUV,Inuvo Inc.,United States,,Technology,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,United States,,Finance,Diversified Financial Services
ISDR,Issuer Direct Corporation Common Stock,United States,,Technology,EDP Services
ISR,IsoRay Inc. Common Stock (DE),United States,,Health Care,Medical/Dental Instruments
ITP,IT Tech Packaging Inc. Common Stock,China,,Basic Industries,Paper
ITRG,Integra Resources Corp. Common Shares,,,,
JOB,GEE Group Inc. Common Stock,United States,,Technology,Diversified Commercial Services
KIQ,Kelso Technologies Inc Ordinary Shares,Canada,,,
KLR,Kaleyra Inc. Common Stock,United States,2018,Technology,Internet and Information Services
LCTX,Lineage Cell Therapeutics Inc. Common Stock,United States,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,United States,2014,,
LGL,LGL Group Inc. (The) Common Stock,United States,,Capital Goods,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,United States,,Public Utilities,Oil/Gas Transmission
LODE,Comstock Mining Inc. Common Stock,United States,,Finance,Real Estate
LOV,Spark Networks Inc. American Depositary Shares (each representing one-tenth of an Ordinary Share),United States,2017,Miscellaneous,Other Consumer Services
LSF,Laird Superfood Inc. Common Stock,,2020,Consumer Non-Durables,Specialty Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,United Kingdom,2012,Capital Goods,Metal Fabrications
MAG,MAG Silver Corporation Ordinary Shares,Canada,,,
MCF,Contango Oil & Gas Company Common Stock (TX),United States,,Energy,Oil & Gas Production
MHH,Mastech Digital Inc Common Stock,United States,,Consumer Services,Professional Services
MLSS,Milestone Scientific Inc. Common Stock,United States,2015,Health Care,Industrial Specialties
MMX,Maverix Metals Inc. Common Shares,,,,
MSN,Emerson Radio Corporation Common Stock,United States,,Consumer Non-Durables,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,,,,
MTNB,Matinas Biopharma Holdings Inc. Common Stock,United States,2017,Health Care,Major Pharmaceuticals
MXC,Mexco Energy Corporation Common Stock,United States,,Energy,Oil & Gas Production
MYO,Myomo Inc. Common Stock,United States,2017,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,Canada,,,
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,United States,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBA,New Beginnings Acquisition Corp. Common Stock,,2020,,
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,United States,2002,,
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,United States,2002,,
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,United States,2002,,
NBY,NovaBay Pharmaceuticals Inc. Common Stock,United States,2007,Health Care,Major Pharmaceuticals
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,United States,,Consumer Services,Building operators
NES,Nuverra Environmental Solutions Inc. Common Stock,United States,2017,Public Utilities,Water Supply
NG,Novagold Resources Inc.,Canada,,,
NGD,New Gold Inc.,Canada,,,
NHC,National HealthCare Corporation Common Stock,United States,,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,United States,,,
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,,2013,,
NNVC,NanoViricides Inc. Common Stock,United States,,Health Care,Major Pharmaceuticals
NOG,Northern Oil and Gas Inc. Common Stock,United States,,Energy,Oil & Gas Production
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,United States,2003,,
NSPR,InspireMD Inc. Common Stock,Israel,,Health Care,Medical/Dental Instruments
NTIP,Network-1 Technologies Inc. Common Stock,United States,,Capital Goods,Telecommunications Equipment
NXE,Nexgen Energy Ltd. Common Shares,,,,
OGEN,Oragenics Inc. Common Stock,United States,,Health Care,Major Pharmaceuticals
ORLA,Orla Mining Ltd. Common Shares,,2020,,
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,United States,,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,United States,,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,United States,,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,United States,,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,United States,,,
PED,Pedevco Corp. Common Stock,United States,,,
PHGE,BiomX Inc. COmmon Stock,,2019,Health Care,Major Pharmaceuticals
PLAG,Planet Green Holdings Corp. Common Stock,China,,,
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),Canada,,,
PLM,Polymet Mining Corporation Ordinary Shares (Canada),Canada,,,
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,Israel,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLYM^A,Plymouth Industrial REIT Inc. 7.50% Series A Cumulative Redeemable Preferred Stock,United States,,,
PRK,Park National Corporation Common Stock,United States,,Finance,Major Banks
PTK,PTK Acquisition Corp. Common Stock,United States,2020,,
PTN,Palatin Technologies Inc. Common Stock,United States,,Health Care,Major Pharmaceuticals
PW,Power REIT (MD) Common Stock,United States,,Consumer Services,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,United States,,,
PZG,Paramount Gold Nevada Corp. Common Stock,United States,2015,Basic Industries,Precious Metals
RCG,RENN Fund Inc Common Stock,United States,,,
REI,Ring Energy Inc. Common Stock,United States,,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,United States,,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,,2017,Health Care,Hospital/Nursing Management
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,,,,
RLGT,Radiant Logistics Inc. Common Stock,United States,,Transportation,Oil Refining/Marketing
RMED,Ra Medical Systems Inc. Common Stock,,2018,Health Care,Medical/Dental Instruments
RVP,Retractable Technologies Inc. Common Stock,United States,,Health Care,Medical/Dental Instruments
SACC,Sachem Capital Corp. 6.875% Notes due 2024,United States,2019,Consumer Services,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,United States,2017,Consumer Services,Real Estate Investment Trusts
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,United States,2019,Consumer Services,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,United States,2020,Consumer Services,Real Estate Investment Trusts
SDPI,Superior Drilling Products Inc. Common Stock,,2014,Energy,Metal Fabrications
SEB,Seaboard Corporation Common Stock,United States,1996,,
SENS,Senseonics Holdings Inc. Common Stock,United States,,Health Care,Medical Specialities
SIF,SIFCO Industries Inc. Common Stock,United States,,Capital Goods,Office Equipment/Supplies/Services
SILV,SilverCrest Metals Inc. Common Shares,,2018,Capital Goods,Industrial Machinery/Components
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,Mexico,1993,Basic Industries,Aluminum
SMTS,Sierra Metals Inc. Common Stock,,,,
SNMP,Evolve Transition Infrastructure LP Common Stock,United States,,Energy,Oil & Gas Production
SSY,SunLink Health Systems Inc. Common Stock,United States,,Health Care,Medical/Nursing Services
STXS,Stereotaxis Inc. Common Stock,United States,,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,,,,
SVT,Servotronics Inc. Common Stock,United States,,Consumer Durables,Metal Fabrications
SYN,Synthetic Biologics Inc. Common Stock,United States,,Health Care,Major Pharmaceuticals
TGB,Taseko Mines Ltd. Common Stock,Canada,,,
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),Canada,,,
TKAT,Takung Art Co. Ltd. Common Stock,,,Consumer Services,Catalog/Specialty Distribution
TMBR,Timber Pharmaceuticals Inc. Common Stock,United States,2015,Consumer Durables,Specialty Chemicals
TMP,Tompkins Financial Corporation Common Stock,United States,,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,Canada,,,
TPHS,Trinity Place Holdings Inc. Common Stock,,,Consumer Services,Real Estate
TRT,Trio-Tech International Common Stock,United States,,Technology,Industrial Machinery/Components
TRX,Tanzanian Gold Corporation Common Stock,Canada,,,
UAMY,United States Antimony Corporation Common Stock,United States,,,
UAVS,AgEagle Aerial Systems Inc. Common Stock,United States,,,
UEC,Uranium Energy Corp. Common Stock,Canada,,Basic Industries,Other Metals and Minerals
UFAB,Unique Fabricating Inc. Common Stock,United States,2015,Capital Goods,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),Canada,,,
USAS,Americas Gold and Silver Corporation Common Shares no par value,,2017,,
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,United States,2004,,
UUU,Universal Security Instruments Inc. Common Stock,United States,,Miscellaneous,Diversified Manufacture
UUUU,Energy Fuels Inc Ordinary Shares (Canada),,,,
VCF,Delaware Investments Colorado Municipal Income Fund Inc  Common Stock,United States,1993,,
VFL,Delaware Investments National Municipal Income Fund Common Stock,United States,1993,,
VGZ,Vista Gold Corp Common Stock,United States,,,
VHAQ,Viveon Health Acquisition Corp. Common Stock,,2021,,
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),United States,,,
VMM,Delaware Investments Minnesota Municipal Income Fund II Inc. Common Stock,United States,1993,,
VNRX,VolitionRX Limited Common Stock,Singapore,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VOLT,Volt Information Sciences Inc. Common Stock,United States,,Technology,Diversified Commercial Services
WLMS,Williams Industrial Services Group Inc. Common Stock,,2021,Capital Goods,Oilfield Services/Equipment
WRN,Western Copper and Gold Corporation Common Stock,Canada,2011,,
WTT,Wireless Telecom Group  Inc. Common Stock,United States,,Capital Goods,Telecommunications Equipment
WWR,Westwater Resources Inc. Common Stock,United States,,Basic Industries,Other Metals and Minerals
WYY,WidePoint Corporation Common Stock,United States,,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,United States,,,
XTNT,Xtant Medical Holdings Inc. Common Stock,United States,,Health Care,Medical Specialities
XXII,22nd Century Group Inc. Common Stock,United States,,,
YCBD,cbdMD Inc. Common Stock,United States,2017,Health Care,Major Pharmaceuticals
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,United States,,,
ZDGE,Zedge Inc. Class B Common Stock ,,2016,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Corp. Common Shares,United States,2017,,
