,Ticker,W%R_range,Long Trigger,Short Trigger,HODL_return,Trade Return,delta
384,SSTK,5,-80,-20,1.067645035542307,0.427193,-0.6404520355423071
385,SSTK,5,-80,-30,1.067645035542307,-0.009824,-1.077469035542307
386,SSTK,5,-80,-40,1.067645035542307,-0.171873,-1.239518035542307
387,SSTK,5,-80,-50,1.067645035542307,-0.288151,-1.355796035542307
388,SSTK,5,-80,-60,1.067645035542307,-0.161614,-1.229259035542307
389,SSTK,5,-80,-70,1.067645035542307,0.149026,-0.9186190355423071
390,SSTK,5,-80,-80,1.067645035542307,0.382315,-0.6853300355423071
391,SSTK,5,-80,-90,1.067645035542307,0.345376,-0.722269035542307
392,SSTK,5,-70,-20,1.067645035542307,0.317574,-0.750071035542307
393,SSTK,5,-70,-30,1.067645035542307,-0.094361,-1.162006035542307
394,SSTK,5,-70,-40,1.067645035542307,-0.264592,-1.332237035542307
395,SSTK,5,-70,-50,1.067645035542307,-0.074492,-1.142137035542307
396,SSTK,5,-70,-60,1.067645035542307,0.081233,-0.986412035542307
397,SSTK,5,-70,-70,1.067645035542307,0.180747,-0.8868980355423071
398,SSTK,5,-70,-80,1.067645035542307,0.431395,-0.6362500355423071
399,SSTK,5,-70,-90,1.067645035542307,0.384248,-0.6833970355423071
400,SSTK,5,-60,-20,1.067645035542307,0.671626,-0.3960190355423071
401,SSTK,5,-60,-30,1.067645035542307,0.263705,-0.803940035542307
402,SSTK,5,-60,-40,1.067645035542307,-0.073851,-1.141496035542307
403,SSTK,5,-60,-50,1.067645035542307,0.23028,-0.837365035542307
404,SSTK,5,-60,-60,1.067645035542307,0.216772,-0.8508730355423071
405,SSTK,5,-60,-70,1.067645035542307,0.245442,-0.8222030355423071
406,SSTK,5,-60,-80,1.067645035542307,0.478723,-0.588922035542307
407,SSTK,5,-60,-90,1.067645035542307,0.65922,-0.408425035542307
408,SSTK,5,-50,-20,1.067645035542307,0.52455,-0.5430950355423071
409,SSTK,5,-50,-30,1.067645035542307,0.409479,-0.6581660355423071
410,SSTK,5,-50,-40,1.067645035542307,-0.165766,-1.2334110355423071
411,SSTK,5,-50,-50,1.067645035542307,0.112243,-0.9554020355423071
412,SSTK,5,-50,-60,1.067645035542307,0.279843,-0.787802035542307
413,SSTK,5,-50,-70,1.067645035542307,0.318576,-0.7490690355423071
414,SSTK,5,-50,-80,1.067645035542307,0.43112,-0.6365250355423071
415,SSTK,5,-50,-90,1.067645035542307,0.70185,-0.3657950355423071
416,SSTK,5,-40,-20,1.067645035542307,1.156541,0.08889596445769299
417,SSTK,5,-40,-30,1.067645035542307,2.155564,1.087918964457693
418,SSTK,5,-40,-40,1.067645035542307,0.468932,-0.598713035542307
419,SSTK,5,-40,-50,1.067645035542307,0.39184,-0.6758050355423071
420,SSTK,5,-40,-60,1.067645035542307,0.489559,-0.578086035542307
421,SSTK,5,-40,-70,1.067645035542307,0.514081,-0.553564035542307
422,SSTK,5,-40,-80,1.067645035542307,0.611012,-0.45663303554230705
423,SSTK,5,-40,-90,1.067645035542307,0.802552,-0.265093035542307
424,SSTK,5,-30,-20,1.067645035542307,-0.140748,-1.2083930355423071
425,SSTK,5,-30,-30,1.067645035542307,0.415375,-0.652270035542307
426,SSTK,5,-30,-40,1.067645035542307,0.448407,-0.619238035542307
427,SSTK,5,-30,-50,1.067645035542307,0.246746,-0.820899035542307
428,SSTK,5,-30,-60,1.067645035542307,0.076627,-0.991018035542307
429,SSTK,5,-30,-70,1.067645035542307,0.058628,-1.0090170355423072
430,SSTK,5,-30,-80,1.067645035542307,0.079477,-0.988168035542307
431,SSTK,5,-30,-90,1.067645035542307,0.247053,-0.8205920355423071
432,SSTK,5,-20,-20,1.067645035542307,0.693004,-0.3746410355423071
433,SSTK,5,-20,-30,1.067645035542307,0.778455,-0.28919003554230704
434,SSTK,5,-20,-40,1.067645035542307,0.581109,-0.48653603554230707
435,SSTK,5,-20,-50,1.067645035542307,0.232425,-0.8352200355423071
436,SSTK,5,-20,-60,1.067645035542307,0.208804,-0.8588410355423071
437,SSTK,5,-20,-70,1.067645035542307,0.138803,-0.928842035542307
