,Ticker,W%R_range,Long Trigger,Short Trigger,HODL_return,Trade Return,delta
3759,ARE,15,-60,-70,0.4191153238546604,-0.037951,-0.4570663238546604
3760,ARE,15,-55,-35,0.4191153238546604,0.11895,-0.3001653238546604
3761,ARE,15,-55,-40,0.4191153238546604,0.026105,-0.3930103238546604
3762,ARE,15,-55,-45,0.4191153238546604,0.271664,-0.14745132385466037
3763,ARE,15,-55,-50,0.4191153238546604,0.23441,-0.18470532385466037
3764,ARE,15,-55,-55,0.4191153238546604,0.031676,-0.3874393238546604
3765,ARE,15,-55,-60,0.4191153238546604,0.012666,-0.40644932385466037
3766,ARE,15,-55,-65,0.4191153238546604,0.067597,-0.35151832385466036
3767,ARE,15,-55,-70,0.4191153238546604,0.046489,-0.3726263238546604
3768,ARE,15,-50,-35,0.4191153238546604,0.055862,-0.36325332385466036
3769,ARE,15,-50,-40,0.4191153238546604,-0.113258,-0.5323733238546604
3770,ARE,15,-50,-45,0.4191153238546604,0.022076,-0.3970393238546604
3771,ARE,15,-50,-50,0.4191153238546604,-0.071536,-0.49065132385466037
3772,ARE,15,-50,-55,0.4191153238546604,-0.055036,-0.4741513238546604
3773,ARE,15,-50,-60,0.4191153238546604,-0.112233,-0.5313483238546604
3774,ARE,15,-50,-65,0.4191153238546604,-0.050192,-0.4693073238546604
3775,ARE,15,-50,-70,0.4191153238546604,-0.052865,-0.4719803238546604
3776,ARE,20,-85,-35,0.38615847542627857,0.406044,0.019885524573721447
3777,ARE,20,-85,-40,0.38615847542627857,0.630111,0.2439525245737214
3778,ARE,20,-85,-45,0.38615847542627857,0.612895,0.2267365245737214
3779,ARE,20,-85,-50,0.38615847542627857,0.43519,0.04903152457372145
3780,ARE,20,-85,-55,0.38615847542627857,0.184049,-0.20210947542627858
3781,ARE,20,-85,-60,0.38615847542627857,0.272444,-0.11371447542627855
3782,ARE,20,-85,-65,0.38615847542627857,0.328557,-0.05760147542627858
3783,ARE,20,-85,-70,0.38615847542627857,0.219469,-0.16668947542627857
3784,ARE,20,-80,-35,0.38615847542627857,0.36962,-0.016538475426278565
3785,ARE,20,-80,-40,0.38615847542627857,0.573362,0.18720352457372147
3786,ARE,20,-80,-45,0.38615847542627857,0.583014,0.19685552457372146
3787,ARE,20,-80,-50,0.38615847542627857,0.353159,-0.03299947542627857
3788,ARE,20,-80,-55,0.38615847542627857,0.0915,-0.29465847542627854
3789,ARE,20,-80,-60,0.38615847542627857,0.17954,-0.20661847542627856
3790,ARE,20,-80,-65,0.38615847542627857,0.210265,-0.17589347542627856
3791,ARE,20,-80,-70,0.38615847542627857,0.103471,-0.2826874754262786
3792,ARE,20,-75,-35,0.38615847542627857,0.206942,-0.17921647542627858
3793,ARE,20,-75,-40,0.38615847542627857,0.386494,0.0003355245737214352
3794,ARE,20,-75,-45,0.38615847542627857,0.364187,-0.021971475426278586
3795,ARE,20,-75,-50,0.38615847542627857,0.162608,-0.22355047542627857
3796,ARE,20,-75,-55,0.38615847542627857,-0.009925,-0.3960834754262786
3797,ARE,20,-75,-60,0.38615847542627857,0.069914,-0.31624447542627854
3798,ARE,20,-75,-65,0.38615847542627857,0.200561,-0.18559747542627858
3799,ARE,20,-75,-70,0.38615847542627857,0.071433,-0.3147254754262786
3800,ARE,20,-70,-35,0.38615847542627857,0.29832,-0.0878384754262786
3801,ARE,20,-70,-40,0.38615847542627857,0.470309,0.08415052457372141
3802,ARE,20,-70,-45,0.38615847542627857,0.464464,0.07830552457372142
3803,ARE,20,-70,-50,0.38615847542627857,0.278918,-0.10724047542627857
3804,ARE,20,-70,-55,0.38615847542627857,0.021588,-0.3645704754262786
3805,ARE,20,-70,-60,0.38615847542627857,0.132674,-0.2534844754262786
3806,ARE,20,-70,-65,0.38615847542627857,0.154787,-0.23137147542627856
3807,ARE,20,-70,-70,0.38615847542627857,0.021977,-0.36418147542627854
3808,ARE,20,-65,-35,0.38615847542627857,0.212205,-0.17395347542627856
3809,ARE,20,-65,-40,0.38615847542627857,0.34542,-0.040738475426278564
3810,ARE,20,-65,-45,0.38615847542627857,0.60502,0.21886152457372143
3811,ARE,20,-65,-50,0.38615847542627857,0.401649,0.01549052457372141
